Column 1,Column 2,Column 3,Column 4,Column 5
X,CH 1,CH 2,Start,Increment
µs, V, V,-3.000000e-03,5.000000e-06
-7711.941399,5.60,0.40,,
-7709.941155,5.60,0.20,,
-7707.940911,5.60,0.40,,
-7705.940667,5.40,0.40,,
-7703.940422,5.60,0.40,,
-7701.940178,5.60,0.40,,
-7699.939934,5.60,0.40,,
-7697.939690,5.60,0.40,,
-7695.939446,5.60,0.40,,
-7693.939202,5.60,0.40,,
-7691.938957,5.60,0.40,,
-7689.938713,5.60,0.40,,
-7687.938469,5.60,0.40,,
-7685.938225,5.60,0.40,,
-7683.937981,5.60,0.40,,
-7681.937737,5.60,0.40,,
-7679.937492,5.60,0.40,,
-7677.937248,5.60,0.40,,
-7675.937004,5.60,0.40,,
-7673.936760,5.60,0.40,,
-7671.936516,5.60,0.40,,
-7669.936272,5.40,0.40,,
-7667.936027,5.60,0.40,,
-7665.935783,5.60,0.40,,
-7663.935539,5.60,0.40,,
-7661.935295,5.60,0.40,,
-7659.935051,5.40,0.40,,
-7657.934806,5.60,0.40,,
-7655.934562,5.60,0.40,,
-7653.934318,5.60,0.40,,
-7651.934074,5.60,0.40,,
-7649.933830,5.60,0.40,,
-7647.933586,5.60,0.40,,
-7645.933341,5.60,0.40,,
-7643.933097,5.60,0.20,,
-7641.932853,5.40,0.40,,
-7639.932609,5.60,0.40,,
-7637.932365,5.60,0.40,,
-7635.932121,5.40,0.40,,
-7633.931876,5.60,0.40,,
-7631.931632,5.40,0.40,,
-7629.931388,5.60,0.40,,
-7627.931144,5.60,0.40,,
-7625.930900,5.40,0.40,,
-7623.930656,5.60,0.40,,
-7621.930411,5.60,0.40,,
-7619.930167,5.60,0.40,,
-7617.929923,5.60,0.40,,
-7615.929679,5.60,0.40,,
-7613.929435,5.60,0.40,,
-7611.929191,5.60,0.40,,
-7609.928946,5.60,0.40,,
-7607.928702,5.40,0.40,,
-7605.928458,5.60,0.40,,
-7603.928214,5.60,0.40,,
-7601.927970,5.40,0.40,,
-7599.927726,5.60,0.40,,
-7597.927481,5.40,0.40,,
-7595.927237,5.60,0.40,,
-7593.926993,5.40,0.40,,
-7591.926749,5.40,0.40,,
-7589.926505,5.60,0.40,,
-7587.926261,5.60,0.40,,
-7585.926016,5.60,0.40,,
-7583.925772,5.60,0.40,,
-7581.925528,5.60,0.40,,
-7579.925284,5.60,0.40,,
-7577.925040,5.40,0.40,,
-7575.924796,5.60,0.40,,
-7573.924551,5.40,0.40,,
-7571.924307,5.60,0.40,,
-7569.924063,5.60,0.40,,
-7567.923819,5.60,0.40,,
-7565.923575,5.60,0.40,,
-7563.923330,5.40,0.40,,
-7561.923086,5.40,0.40,,
-7559.922842,5.60,0.40,,
-7557.922598,5.60,0.40,,
-7555.922354,5.60,0.40,,
-7553.922110,5.60,0.40,,
-7551.921865,5.40,0.40,,
-7549.921621,5.60,0.40,,
-7547.921377,5.40,0.40,,
-7545.921133,5.60,0.40,,
-7543.920889,5.60,0.40,,
-7541.920645,5.40,0.40,,
-7539.920400,5.60,0.40,,
-7537.920156,5.40,0.40,,
-7535.919912,5.60,0.40,,
-7533.919668,5.60,0.40,,
-7531.919424,5.60,0.40,,
-7529.919180,5.60,0.40,,
-7527.918935,5.40,0.40,,
-7525.918691,5.60,0.40,,
-7523.918447,5.40,0.40,,
-7521.918203,5.60,0.40,,
-7519.917959,5.60,0.40,,
-7517.917715,5.60,0.40,,
-7515.917470,5.60,0.40,,
-7513.917226,5.60,0.40,,
-7511.916982,5.40,0.40,,
-7509.916738,5.60,0.40,,
-7507.916494,5.60,0.40,,
-7505.916250,5.60,0.40,,
-7503.916005,5.40,0.40,,
-7501.915761,5.60,0.40,,
-7499.915517,5.60,0.40,,
