Column 1,Column 2,Column 3,Column 4,Column 5
X,CH 1,CH 2,Start,Increment
µs, V, V,-3.000000e-03,5.000000e-06
-7513.917226,5.60,-4.20,,
-7511.916982,5.60,-4.20,,
-7509.916738,5.60,-4.20,,
-7507.916494,5.60,-4.20,,
-7505.916250,5.60,-4.20,,
-7503.916005,5.60,-4.00,,
-7501.915761,5.80,-4.20,,
-7499.915517,5.60,-4.20,,
-7497.915273,5.60,-4.00,,
-7495.915029,5.60,-4.20,,
-7493.914785,5.80,-4.00,,
-7491.914540,-5.20,5.40,,
-7489.914296,-4.80,5.40,,
-7487.914052,-4.80,5.40,,
-7485.913808,-4.80,5.40,,
-7483.913564,-4.60,5.20,,
-7481.913319,-4.60,5.40,,
-7479.913075,-4.80,5.40,,
-7477.912831,-4.60,5.20,,
-7475.912587,-4.80,5.40,,
-7473.912343,-4.60,5.20,,
-7471.912099,-4.60,5.20,,
-7469.911854,-4.60,5.20,,
-7467.911610,-4.60,5.40,,
-7465.911366,-4.60,5.40,,
-7463.911122,-4.60,5.20,,
-7461.910878,-4.60,5.20,,
-7459.910634,-4.60,5.40,,
-7457.910389,-4.60,5.20,,
-7455.910145,-4.60,5.20,,
-7453.909901,-4.40,5.40,,
-7451.909657,-4.60,5.20,,
-7449.909413,-4.60,5.20,,
-7447.909169,-4.60,5.40,,
-7445.908924,-4.60,5.20,,
-7443.908680,-4.60,5.20,,
-7441.908436,-4.60,5.20,,
-7439.908192,-4.60,5.20,,
-7437.907948,-4.60,5.20,,
-7435.907704,-4.60,5.20,,
-7433.907459,-4.60,5.00,,
-7431.907215,-4.60,5.20,,
-7429.906971,-4.60,5.20,,
-7427.906727,-4.60,5.20,,
-7425.906483,-4.60,5.20,,
-7423.906239,-4.60,5.20,,
-7421.905994,-4.60,5.00,,
-7419.905750,-4.60,5.20,,
-7417.905506,-4.60,5.20,,
-7415.905262,-4.60,5.20,,
-7413.905018,-4.60,5.20,,
-7411.904774,-4.60,5.00,,
-7409.904529,-4.60,5.20,,
-7407.904285,-4.60,5.00,,
-7405.904041,-4.60,5.00,,
-7403.903797,-4.60,5.00,,
-7401.903553,-4.60,5.20,,
-7399.903309,-4.60,5.00,,
-7397.903064,-4.60,5.20,,
-7395.902820,-4.60,5.20,,
-7393.902576,-4.60,5.00,,
-7391.902332,-4.60,5.20,,
-7389.902088,-4.60,5.20,,
-7387.901843,-4.60,5.20,,
-7385.901599,-4.60,5.20,,
-7383.901355,-4.60,5.00,,
-7381.901111,-4.60,5.00,,
-7379.900867,-4.60,5.00,,
-7377.900623,-4.60,5.00,,
-7375.900378,-4.60,5.20,,
-7373.900134,-4.60,5.00,,
-7371.899890,-4.60,5.00,,
-7369.899646,-4.60,5.00,,
-7367.899402,-4.60,5.00,,
-7365.899158,-4.60,5.00,,
-7363.898913,-4.60,5.00,,
-7361.898669,-4.60,5.00,,
-7359.898425,-4.60,5.00,,
-7357.898181,-4.60,5.00,,
-7355.897937,-4.60,5.00,,
-7353.897693,-4.60,5.20,,
-7351.897448,-4.60,5.00,,
-7349.897204,-4.60,5.00,,
-7347.896960,-4.60,5.00,,
-7345.896716,-4.60,5.20,,
-7343.896472,-4.60,5.00,,
-7341.896228,-4.60,5.00,,
-7339.895983,-4.60,5.00,,
-7337.895739,-4.60,5.00,,
-7335.895495,-4.60,5.00,,
-7333.895251,-4.60,5.00,,
-7331.895007,-4.60,5.00,,
-7329.894763,-4.60,5.00,,
-7327.894518,-4.60,5.00,,
-7325.894274,-4.80,5.00,,
-7323.894030,-4.60,5.00,,
-7321.893786,-4.60,5.00,,
-7319.893542,-4.60,5.00,,
-7317.893298,-4.60,5.00,,
-7315.893053,-4.60,5.00,,
-7313.892809,-4.60,5.00,,
-7311.892565,-4.60,5.00,,
-7309.892321,-4.60,5.00,,
-7307.892077,-4.60,5.00,,
-7305.891832,-4.60,5.00,,
-7303.891588,-4.60,5.00,,
-7301.891344,-4.60,5.00,,
-7299.891100,-4.60,5.00,,
-7297.890856,-4.60,5.00,,
-7295.890612,-4.60,5.00,,
-7293.890367,-4.60,5.00,,
-7291.890123,-4.60,5.00,,
-7289.889879,-4.60,5.00,,
-7287.889635,-4.60,5.00,,
-7285.889391,-4.60,5.00,,
-7283.889147,-4.60,5.00,,
